event_id,title,category,society,date,time,location,tags
1,Tech Careers Talk,Tech,Computing Society,2026-05-06,18:00,Room B204,"careers,technology,networking"
2,Five-a-side Football,Sports,Football Society,2026-05-07,17:00,Sports Hall,"football,fitness,social"
3,Board Games Evening,Social,Games Society,2026-05-08,19:00,Student Union,"games,social,relax"
4,AI Workshop,Tech,Computing Society,2026-05-10,15:00,Computer Lab 3,"ai,coding,technology"
5,Campus Art Showcase,Arts,Art Society,2026-05-11,13:00,Main Atrium,"art,creative,social"
6,Study Skills Session,Academic,Learning Support,2026-05-12,12:00,Library Room 2,"study,academic,planning"
7,Basketball Tryouts,Sports,Basketball Society,2026-05-13,16:00,Sports Hall,"basketball,fitness,sports"
8,Open Mic Night,Social,Music Society,2026-05-14,20:00,Student Union,"music,social,performance"
9,Web Development Bootcamp,Tech,Developer Society,2026-05-15,14:00,Computer Lab 2,"web,coding,technology"
10,Exam Preparation Talk,Academic,Student Support,2026-05-16,11:00,Lecture Theatre A,"exam,study,academic"
11,Photography Walk,Arts,Photography Society,2026-05-17,10:00,Campus Entrance,"photography,creative,social"
12,Wellbeing Coffee Morning,Wellbeing,Wellbeing Team,2026-05-18,09:30,Canteen,"wellbeing,social,support"
13,Cybersecurity Intro,Tech,Cyber Society,2026-05-19,17:30,Room C112,"cybersecurity,technology,careers"
14,Yoga for Students,Wellbeing,Wellbeing Team,2026-05-20,08:30,Studio 1,"wellbeing,fitness,relax"
15,Debate Night,Academic,Debating Society,2026-05-21,18:30,Room D101,"debate,academic,social"
